ID;CLASS;X01;X02;X03;X04;X05;X06;X07;X08;X09;X10;X11;X12;X13;X14;X15;X16;X17;X18;X19;X20;X21;X22;X23;X24;X25;X26;X27;X28;X29;X30;X31;X32;X33;X34;X35;X36;X37;X38;X39;X40;X41;X42;X43;X44;X45;X46;X47;X48;X49;X50;X51;X52;X53;X54;X55;X56;X57;X58;X59;X60;X61;DATETIME_OPEN;DATETIME_CHECK
1;2;0;0;2;2;0;0;0;0;0;2;4;0;0;14;2;2;0;0;0;0;0;23;888;12;0;0;0;0;8;0;0;0;0;0;0;8010;155;4082;4082;135744;36009;NULL;NULL;135744;36009;NULL;NULL;8;1;1;4;2;0;5539;2;0;NULL;NULL;NULL;NULL;NULL;"2016-07-20 00:00:00";"2016-08-01 20:31:52"
2;2;0;0;0;0;0;0;0;0;0;1;2;0;0;7;0;0;0;0;0;0;0;16;888;3;0;0;0;0;6;0;0;0;0;0;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;8;0;0;2;6;0;4365;0;0;NULL;NULL;NULL;NULL;NULL;"2016-07-29 00:00:00";"2016-08-01 15:00:29"
3;2;2;1;28;8;4;5;2;4;5;12;29;2;0;99;29;13;1;2;2;1;10;42;4128;14;0;0;2;0;17;0;0;5;1;0;7;7950;-19458;-294;50;70487;1607;558;8349;80091;928;292;66;4;0;0;2;1;0;14607;24;1;NULL;NULL;NULL;NULL;-747;"2016-07-18 00:00:00";"2016-08-01 13:23:41"
4;2;0;0;2;2;0;0;0;0;0;4;13;0;0;31;4;2;0;0;0;0;2;25;879;19;0;0;0;0;13;1;0;0;0;0;0;8200;120;2813;200;198337;12543;NULL;29923;198337;12543;NULL;29923;3;0;0;3;0;0;14374;2;0;-40;-40;NULL;NULL;NULL;"2016-07-13 00:00:00";"2016-08-01 10:22:52"
5;2;0;0;10;6;0;0;0;0;4;2;12;5;0;36;9;7;0;0;0;0;2;38;888;18;0;0;0;0;10;0;0;0;5;0;0;9091;-7091;2822;1091;106871;13370;20941;25;108588;5089;677;29;9;2;1;4;1;0;19575;8;3;NULL;NULL;NULL;NULL;NULL;"2016-07-14 00:00:00";"2016-08-01 09:45:53"
6;2;78;3;41;4;7;2;1;0;6;31;26;20;53;213;145;1;4;0;7;14;77;27;879;65;1;2;75;0;46;8;7;0;22;0;0;81312;-1103441;-881983;-1027130;47413;21162;1615;23831;14613;16522;47;3262;6;1;1;3;1;0;NULL;15;11;-132;-100;-50;-50;NULL;"2016-05-27 00:00:00";"2016-07-31 22:53:55"
9;2;0;0;7;2;0;3;1;1;0;3;9;2;0;25;5;3;0;0;0;0;2;26;888;47;0;0;0;0;10;0;0;0;0;0;0;8800;700;4154;4550;168292;4119;232;445038;167165;4808;155;445038;2;0;0;2;0;0;26327;7;1;NULL;NULL;NULL;NULL;NULL;"2016-06-14 00:00:00";"2016-07-31 20:26:59"
10;1;167;1;70;5;0;7;14;21;22;18;90;2;206;451;251;6;0;5;9;56;174;19;879;530;0;0;167;0;56;5;0;0;0;0;0;4625;-22876;-9516;-9121;143941;14817;151299;22379;42549;2186;60;4938;2;1;0;1;0;0;277;35;1;-120;-100;NULL;NULL;NULL;"2015-02-17 00:00:00";"2016-07-31 15:29:01"
11;2;34;2;17;3;2;3;1;6;1;16;12;4;2;137;59;4;0;3;0;2;45;33;1104;1814;0;5;29;0;13;1;0;7;3;0;0;17150;-62657;-21670;-18606;799224;43466;51443;70254;165947;11019;12992;16275;4;0;1;3;0;0;NULL;11;2;-100;-100;NULL;NULL;-131;"2011-08-12 00:00:00";"2016-07-30 18:06:25"
12;2;0;0;6;3;0;0;0;0;3;1;8;3;0;23;6;5;0;0;0;0;1;21;888;11;0;0;0;0;8;0;0;0;2;0;0;8000;-14450;-6601;-6425;73551;11631;73;64201;24751;11878;73;64201;13;5;3;2;1;1;8509;6;2;NULL;NULL;NULL;NULL;NULL;"2016-07-13 00:00:00";"2016-07-24 17:49:28"
13;2;2;1;9;9;0;0;0;0;0;9;14;0;2;43;10;8;0;0;0;0;2;17;879;689;0;0;2;0;14;0;0;0;0;0;2;8078;-100;3763;100;209622;2219;NULL;24;155366;2223;NULL;24;1;0;0;1;0;0;118;9;0;NULL;NULL;NULL;NULL;NULL;"2014-09-10 00:00:00";"2016-07-30 10:34:05"
14;2;0;0;10;0;0;7;2;0;1;0;11;0;0;21;4;0;0;4;0;0;0;19;904;18;0;0;0;0;8;0;0;0;0;0;0;8201;201;3615;4100;258002;6763;3941;38;139950;8014;2022;38;3;0;0;3;0;0;NULL;9;0;NULL;NULL;NULL;NULL;NULL;"2016-07-11 00:00:00";"2016-07-29 21:01:32"
15;2;0;0;4;2;0;1;0;1;0;2;8;0;0;21;3;2;0;0;0;0;1;20;888;32;0;0;0;0;10;0;0;0;0;0;0;8100;-100;3157;1000;790944;1897;117;NULL;1052225;1897;117;NULL;3;1;0;1;0;0;23348;4;0;NULL;NULL;NULL;NULL;NULL;"2016-06-27 00:00:00";"2016-07-29 18:49:58"
16;1;0;0;6;3;0;0;0;3;0;1;8;0;0;22;3;3;0;0;0;0;0;19;3600;10;0;0;0;0;7;0;0;0;0;0;1;8000;0;5066;7200;331371;1721;142;NULL;331371;1560;162;NULL;7;0;0;2;0;2;12759;3;0;NULL;NULL;NULL;NULL;NULL;"2016-07-19 00:00:00";"2016-07-29 13:36:37"
17;2;0;0;12;3;3;1;2;3;0;3;14;4;0;36;9;5;0;0;0;0;4;17;1618;65;0;0;0;0;11;0;0;0;12;0;0;7810;-400;3883;5790;385790;1494;635;906329;89510;809;211;89457;3;0;0;2;1;0;20513;12;1;NULL;NULL;NULL;NULL;NULL;"2016-05-25 00:00:00";"2016-07-29 16:31:02"
18;2;5;2;33;2;1;8;4;7;11;16;21;1;2;107;34;5;0;4;2;12;11;21;879;1005;0;0;2;3;19;0;0;5;0;0;6;2235;-5844;-1069;-846;600154;14149;2847;26506;175493;358;30;9594;2;0;0;1;0;0;268;15;1;NULL;NULL;NULL;NULL;-261;"2013-10-28 00:00:00";"2016-07-29 15:25:02"
20;2;2;1;26;6;0;0;1;2;14;7;15;2;4;125;22;5;0;0;0;5;9;19;888;105;0;0;2;0;29;0;0;2;3;0;2;12379;-12012;81;203;618660;11879;88;7821;101123;415;72;51;10;2;4;2;1;0;13837;15;1;NULL;NULL;NULL;NULL;-60;"2016-04-15 00:00:00";"2016-07-29 14:52:31"
22;2;0;0;57;18;6;15;10;2;7;39;51;31;0;300;103;41;16;16;3;11;15;38;1116;67;0;0;0;0;51;0;0;6;52;0;9;5941;-252445;-102820;-91537;116973;5248;1050;14043;91171;2632;616;44;6;1;3;0;1;0;1138;47;7;NULL;NULL;NULL;NULL;-63;"2016-05-23 00:00:00";"2016-07-29 11:21:53"
23;2;0;0;5;2;1;1;0;0;1;2;7;1;0;15;3;3;0;0;0;0;0;17;879;61;0;0;0;0;7;0;0;0;6;0;0;8301;235;4539;5410;217108;41407;45;NULL;217108;40807;45;NULL;9;1;0;0;0;0;25136;5;1;NULL;NULL;NULL;NULL;NULL;"2016-05-26 00:00:00";"2016-07-26 17:16:09"
24;2;0;0;4;3;0;1;0;0;0;3;6;0;0;27;7;0;0;7;0;0;0;22;127;16;0;0;0;0;13;0;0;0;0;0;0;8000;0;3463;3400;177429;17378;NULL;44;97574;10120;NULL;44;9;1;1;2;1;0;12932;4;0;NULL;NULL;NULL;NULL;NULL;"2016-07-12 00:00:00";"2016-07-28 23:48:19"
25;2;0;0;9;7;0;0;0;0;1;2;11;1;0;30;5;3;0;0;0;0;1;40;888;140;0;0;0;0;7;0;0;0;1;0;0;40920;-7130;9890;8035;164581;7959;17309;54879;125834;7616;322;54879;10;0;0;8;1;0;14431;9;1;NULL;NULL;NULL;NULL;NULL;"2016-03-10 00:00:00";"2016-07-28 22:03:31"
28;2;0;0;2;0;0;0;0;0;2;4;2;0;0;13;4;0;0;0;0;0;4;16;888;6;0;0;0;0;6;0;0;1;0;0;0;51;-145;-39;-22;NULL;79;24;167058;NULL;79;24;229711;10;1;1;2;6;0;NULL;0;0;NULL;NULL;NULL;NULL;-48;"2016-07-22 00:00:00";"2016-07-28 13:37:01"
29;2;0;0;10;4;0;0;0;4;2;19;10;0;2;43;22;4;0;0;0;0;18;32;3600;44;0;0;0;0;9;0;0;0;0;0;2;7600;-1100;1340;-400;146990;13429;166;160020;102693;2060;159;172877;1;0;0;1;0;0;NULL;5;0;NULL;NULL;NULL;NULL;NULL;"2016-06-14 00:00:00";"2016-07-28 12:59:03"
31;2;0;0;11;2;1;2;4;0;2;1;13;1;0;26;4;4;0;0;0;0;0;21;879;44;0;0;0;0;8;0;0;0;3;0;0;8271;166;3550;2166;234282;43272;2289;NULL;209194;34996;1185;NULL;15;1;6;0;0;0;27778;11;1;NULL;NULL;NULL;NULL;NULL;"2016-06-14 00:00:00";"2016-07-28 12:42:40"
32;2;0;0;3;3;0;0;0;0;0;1;5;0;0;19;3;3;0;0;0;0;0;41;888;14;0;0;0;0;8;0;0;0;0;0;0;8800;800;4666;4400;229607;19582;NULL;NULL;229607;11887;NULL;NULL;10;1;0;4;1;0;10177;3;0;NULL;NULL;NULL;NULL;NULL;"2016-07-14 00:00:00";"2016-07-28 11:45:31"
33;1;349;1;104;5;10;18;8;24;34;78;91;66;159;791;602;2;13;31;18;110;427;19;3600;652;0;0;349;0;180;37;0;3;0;0;4;16709;-82430;-46048;-55985;84167;18363;30046;18151;24175;1451;197;5288;7;0;0;2;0;2;NULL;21;13;-102;-72;NULL;NULL;-325;"2014-10-15 00:00:00";"2016-07-28 11:34:03"
35;2;0;0;8;1;1;1;0;1;0;1;5;0;4;30;5;2;0;0;0;0;0;33;1618;288;0;0;0;0;16;0;0;0;0;0;0;59000;-14000;22313;24000;104220;7667;2836729;105;37487;4665;27682;105;4;1;0;1;0;0;12463;8;0;NULL;NULL;NULL;NULL;NULL;"2015-10-14 00:00:00";"2016-07-28 09:21:22"
37;2;218;1;68;5;10;10;8;12;14;121;83;26;186;590;428;4;5;15;39;109;244;29;4723;282;0;0;218;0;133;27;21;3;0;0;6;128028;-209093;-146070;-150406;92521;6275;541;18765;18473;775;68;6250;5;3;0;2;0;0;NULL;25;4;-165;-100;-100;-100;-367;"2015-10-20 00:00:00";"2016-07-28 08:34:04"
38;2;0;0;4;4;0;0;0;0;0;2;7;0;0;22;4;4;0;0;0;0;0;25;879;7;0;0;0;0;14;0;0;0;0;0;0;8000;0;3900;3600;103022;15204;NULL;NULL;93555;5434;NULL;NULL;3;0;0;3;0;0;8588;4;0;NULL;NULL;NULL;NULL;NULL;"2016-07-13 00:00:00";"2016-07-20 14:41:47"
39;2;6;1;21;4;2;3;1;3;7;12;21;2;6;100;27;7;0;4;0;7;9;25;879;593;0;0;6;0;30;0;0;2;5;0;0;20083;-1197;3829;580;781267;21219;6017;12780;120509;1104;184;7937;3;1;0;2;0;0;765;13;1;NULL;NULL;NULL;NULL;-130;"2014-12-11 00:00:00";"2016-07-26 21:48:58"
40;2;0;0;13;6;2;3;1;1;0;2;23;0;0;32;1;0;0;0;0;0;0;17;879;54;0;0;0;0;9;0;0;0;0;0;0;62400;400;27364;24500;310578;3434;1762;NULL;310578;3434;29;NULL;9;1;0;0;0;0;14476;12;0;NULL;NULL;NULL;NULL;NULL;"2016-05-26 00:00:00";"2016-07-19 07:33:27"
41;2;0;0;8;3;0;2;0;2;0;1;10;1;0;23;6;5;0;0;0;0;0;21;879;43;0;0;0;0;9;0;0;0;3;0;0;150166;-15789;11535;1811;102731;41819;56;240004;84290;35534;40;240004;15;1;6;0;0;0;26657;8;1;NULL;NULL;NULL;NULL;NULL;"2016-06-14 00:00:00";"2016-07-27 18:09:57"
42;2;0;0;0;0;0;0;0;0;0;2;2;0;0;7;0;0;0;0;0;0;0;23;888;7;0;0;0;0;4;0;0;0;0;0;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;8;1;1;4;2;0;3347;0;0;NULL;NULL;NULL;NULL;NULL;"2016-07-20 00:00:00";"2016-07-27 17:48:13"
43;2;0;0;0;0;0;0;0;0;0;1;2;0;0;7;0;0;0;0;0;0;0;23;1579;9;0;0;0;0;6;0;0;0;0;0;0;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;3;0;1;1;1;0;1304;0;0;NULL;NULL;NULL;NULL;NULL;"2016-07-18 00:00:00";"2016-07-27 17:33:53"
44;2;4;2;18;10;0;2;3;0;3;4;17;0;3;73;19;14;2;1;0;0;2;15;888;90;0;0;3;1;28;0;0;0;0;3;1;8000;-34928;-10928;-15108;627561;3030;2132;11340;85977;2796;1569;17;2;1;0;0;1;0;12825;13;0;NULL;NULL;NULL;NULL;NULL;"2016-04-28 00:00:00";"2016-07-27 15:50:11"
45;2;0;0;16;7;0;0;1;0;0;13;21;4;0;52;20;2;0;0;0;0;11;21;879;43;0;0;0;0;14;0;0;0;17;0;0;636200;-64450;83857;5225;78141;20846;56;166952;85211;15059;49;214018;15;1;6;0;0;0;NULL;16;4;NULL;NULL;NULL;NULL;NULL;"2016-06-14 00:00:00";"2016-07-27 14:54:02"
46;2;0;0;9;6;1;0;0;2;0;0;11;0;0;22;6;6;0;0;0;0;0;28;3600;27;0;0;0;0;8;0;0;0;0;0;0;8884;800;5496;8000;157399;9805;42;NULL;175334;2429;42;NULL;4;0;0;4;0;0;24440;9;0;NULL;NULL;NULL;NULL;NULL;"2016-06-30 00:00:00";"2016-07-27 10:02:24"
